购置向量顺序：自动化输送臂、工业清洗机、精密灌装机、自动传感多功能机、高速抛光机
最终上界：32058 s
竞争结构下界：
((0, 0, 1, 3, 3), 500000, 27000, None, '完整模型达到上界')
((0, 1, 0, 2, 4), 500000, 29340, 32480, '已排除')
((0, 2, 1, 2, 3), 500000, 29340, 32788, '已排除')
((0, 0, 1, 2, 4), 495000, 29340, 32502, '已排除')
((0, 1, 2, 2, 3), 495000, 29340, 32732, '已排除')
((0, 0, 3, 2, 3), 490000, 29340, 33039, '已排除')
((2, 0, 0, 2, 3), 485000, 29340, 33230, '已排除')
((1, 1, 0, 2, 3), 475000, 29340, 32886, '已排除')
((1, 0, 1, 2, 3), 470000, 29340, 33127, '已排除')
低成本近邻完整模型最优值：32125 s
